"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.SIGLEC5",0.000822359892752677,"greater","ge","SIGLEC5",6028,4523,3399
"ge.POLR1B",0.000822498611943288,"greater","ge","POLR1B",6029,4524,3400
"cn.AKAP12",0.000824493229397697,"greater","cn","AKAP12",6030,1975,3401
"cn.ZBTB2",0.000824493229397697,"greater","cn","ZBTB2",6030,1976,3402
"ge.LINC00689",0.000825384920342227,"greater","ge","LINC00689",6031,4525,3403
"ge.TKT",0.000827175259667829,"less","ge","TKT",6032,4526,3099
"ge.ZDHHC2",0.000827701261773078,"greater","ge","ZDHHC2",6033,4527,3404
"cn.CTSA",0.000827828309964759,"less","cn","CTSA",6034,1977,3100
"cn.NEURL2",0.000827828309964759,"less","cn","NEURL2",6034,1978,3101
"cn.PCIF1",0.000827828309964759,"less","cn","PCIF1",6034,1979,3102
"cn.PLTP",0.000827828309964759,"less","cn","PLTP",6034,1980,3103
"cn.SPATA25",0.000827828309964759,"less","cn","SPATA25",6034,1981,3104
"cn.ZSWIM1",0.000827828309964759,"less","cn","ZSWIM1",6034,1982,3105
"cn.ZSWIM3",0.000827828309964759,"less","cn","ZSWIM3",6034,1983,3106
"cn.RALY",0.000829397832793853,"less","cn","RALY",6035,1984,3107
"cn.TTLL2",0.000829728359908229,"greater","cn","TTLL2",6036,1985,3405
"ge.JOSD1",0.000830066687187799,"less","ge","JOSD1",6037,4528,3108
"cn.CDH9",0.000834230549214573,"less","cn","CDH9",6038,1986,3109
"ge.PTMS",0.000835711583558858,"less","ge","PTMS",6039,4529,3110
"cn.CD14",0.000835821076547562,"less","cn","CD14",6040,1987,3111
"cn.IK",0.000835821076547562,"less","cn","IK",6040,1988,3112
"cn.NDUFA2",0.000835821076547562,"less","cn","NDUFA2",6040,1989,3113
"cn.TMCO6",0.000835821076547562,"less","cn","TMCO6",6040,1990,3114
"ge.TSSC1",0.000835968297390286,"greater","ge","TSSC1",6041,4530,3406
"ge.ADAM19",0.000836576569102839,"less","ge","ADAM19",6042,4531,3115
"ge.ECHDC2",0.000836814023745809,"less","ge","ECHDC2",6043,4532,3116
"cn.TMEM173",0.000837054327437424,"less","cn","TMEM173",6044,1991,3117
"ge.ANAPC13",0.000837652113423911,"less","ge","ANAPC13",6045,4533,3118
"ge.RHCG",0.000837756124447143,"less","ge","RHCG",6046,4534,3119
"ge.KCNK7",0.000838128026345022,"greater","ge","KCNK7",6047,4535,3407
"ge.SOS1",0.000838689896288887,"greater","ge","SOS1",6048,4536,3408
"ge.NELL1",0.000838851907678315,"greater","ge","NELL1",6049,4537,3409
"ge.ZBTB6",0.000839137169612046,"greater","ge","ZBTB6",6050,4538,3410
"ge.SEPN1",0.000840889820796932,"less","ge","SEPN1",6051,4539,3120
"ge.TUBG2",0.000841004224863814,"less","ge","TUBG2",6052,4540,3121
"ge.CECR2",0.000842257729199681,"greater","ge","CECR2",6053,4541,3411
"ge.HIST1H4E",0.000842524774276746,"greater","ge","HIST1H4E",6054,4542,3412
"ge.MOCS3",0.000843880302476243,"less","ge","MOCS3",6055,4543,3122
"cn.DIAPH1",0.000844425335099297,"less","cn","DIAPH1",6056,1992,3123
"ge.CSK",0.000847378915532211,"greater","ge","CSK",6057,4544,3413
"ge.MCM3AP",0.000852387033728347,"greater","ge","MCM3AP",6058,4545,3414
"ge.NPLOC4",0.000852440763802371,"less","ge","NPLOC4",6059,4546,3124
"cn.MIR647",0.000853207893917413,"less","cn","MIR647",6060,1993,3125
"cn.MIR1914",0.000853207893917413,"less","cn","MIR1914",6060,1994,3126
"cn.PRPF6",0.000853207893917413,"less","cn","PRPF6",6060,1995,3127
"cn.SAMD10",0.000853207893917413,"less","cn","SAMD10",6060,1996,3128
"cn.UCKL1",0.000853207893917413,"less","cn","UCKL1",6060,1997,3129
"cn.UCKL1.AS1",0.000853207893917413,"less","cn","UCKL1.AS1",6060,1998,3130
"cn.ZNF512B",0.000853207893917413,"less","cn","ZNF512B",6060,1999,3131
"ge.FAM167B",0.0008532403563024,"less","ge","FAM167B",6061,4547,3132
"ge.GDAP1",0.000853832167539452,"greater","ge","GDAP1",6062,4548,3415
"cn.SLC12A3",0.000854161824463628,"less","cn","SLC12A3",6063,2000,3133
"ge.GFI1B",0.000855186452155146,"greater","ge","GFI1B",6064,4549,3416
