"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.C1QTNF6",5.5448357437567e-26,"less","ge","C1QTNF6",1,1,1
"ge.PTGES",1.47203629988197e-22,"less","ge","PTGES",2,2,2
"ge.YAP1",1.41974655733854e-20,"less","ge","YAP1",3,3,3
"ge.EMP1",2.21792705142066e-20,"less","ge","EMP1",4,4,4
"ge.PXN",4.96870618175667e-20,"less","ge","PXN",5,5,5
"ge.HFE",5.29095043799088e-20,"less","ge","HFE",6,6,6
"ge.EGFR",5.56126431819684e-20,"less","ge","EGFR",7,7,7
"ge.SYDE1",1.78490728749982e-19,"less","ge","SYDE1",8,8,8
"ge.GPX8",1.93744564461212e-19,"less","ge","GPX8",9,9,9
"ge.STEAP1",2.00866673821896e-19,"less","ge","STEAP1",10,10,10
"ge.TBC1D2",4.78021120865038e-19,"less","ge","TBC1D2",11,11,11
"ge.ITPRIPL2",9.50884633750919e-19,"less","ge","ITPRIPL2",12,12,12
"ge.OSMR",1.19003305501156e-18,"less","ge","OSMR",13,13,13
"ge.CYR61",1.60283788157977e-18,"less","ge","CYR61",14,14,14
"ge.RSBN1",2.19001452703572e-18,"greater","ge","RSBN1",15,15,1
"ge.CAV2",3.52426646641198e-18,"less","ge","CAV2",16,16,15
"ge.KRT17",4.21050422001542e-18,"less","ge","KRT17",17,17,16
"ge.MYOF",4.97110990569412e-18,"less","ge","MYOF",18,18,17
"ge.RNF138",6.04878977187988e-18,"greater","ge","RNF138",19,19,2
"ge.BCAR1",7.17561663740968e-18,"less","ge","BCAR1",20,20,18
"origin",8.03408343433226e-18,"na",NA,"origin",21,1,1
"ge.EXT1",9.91656419664679e-18,"less","ge","EXT1",22,21,19
"ge.ITGB5",1.13771388290356e-17,"less","ge","ITGB5",23,22,20
"ge.SGMS2",1.37439592900975e-17,"less","ge","SGMS2",24,23,21
"ge.ITGA3",1.57053989823775e-17,"less","ge","ITGA3",25,24,22
"ge.AVPI1",2.17575300236724e-17,"less","ge","AVPI1",26,25,23
"ge.PRSS23",2.20743147581723e-17,"less","ge","PRSS23",27,26,24
"ge.PTRF",2.25414255134142e-17,"less","ge","PTRF",28,27,25
"ge.UPP1",2.38790314810105e-17,"less","ge","UPP1",29,28,26
"ge.PTPN14",2.62110015633196e-17,"less","ge","PTPN14",30,29,27
"ge.KDELR3",2.73668735784107e-17,"less","ge","KDELR3",31,30,28
"ge.HMGB2",3.01606002837408e-17,"greater","ge","HMGB2",32,31,3
"ge.AXL",3.52759908037401e-17,"less","ge","AXL",33,32,29
"ge.CAV1",3.99618772706583e-17,"less","ge","CAV1",34,33,30
"ge.ZNF708",4.06374608158269e-17,"greater","ge","ZNF708",35,34,4
"ge.GPRC5A",4.42059921757296e-17,"less","ge","GPRC5A",36,35,31
"ge.TMEM40",4.61667610308878e-17,"less","ge","TMEM40",37,36,32
"ge.EHD2",4.92845955883662e-17,"less","ge","EHD2",38,37,33
"ge.LAMB2",5.89151412792991e-17,"less","ge","LAMB2",39,38,34
"ge.SMAD4",5.96587034226829e-17,"greater","ge","SMAD4",40,39,5
"ge.FAM114A1",7.31833398901293e-17,"less","ge","FAM114A1",41,40,35
"ge.UCP2",7.92978781416967e-17,"greater","ge","UCP2",42,41,6
"ge.TNFRSF12A",8.77726545622007e-17,"less","ge","TNFRSF12A",43,42,36
"ge.S100A16",9.10573822924387e-17,"less","ge","S100A16",44,43,37
"ge.FOSL1",1.11480087599619e-16,"less","ge","FOSL1",45,44,38
"ge.CTSL",1.14912179206332e-16,"less","ge","CTSL",46,45,39
"ge.GNG12",1.3045421574496e-16,"less","ge","GNG12",47,46,40
"ge.AJUBA",1.37299299726584e-16,"less","ge","AJUBA",48,47,41
"ge.NQO1",1.65173725853107e-16,"less","ge","NQO1",49,48,42
"ge.ANXA2P1",1.98913069081036e-16,"less","ge","ANXA2P1",50,49,43
"ge.AHNAK",2.64129436763837e-16,"less","ge","AHNAK",51,50,44
"ge.HDHD2",2.91823206807423e-16,"greater","ge","HDHD2",52,51,7
"ge.KRT4",2.93149733982149e-16,"less","ge","KRT4",53,52,45
"ge.TLDC1",2.93472737728649e-16,"less","ge","TLDC1",54,53,46
"ge.ANXA2P2",3.22433742979613e-16,"less","ge","ANXA2P2",55,54,47
"ge.NRG1",3.5013712271003e-16,"less","ge","NRG1",56,55,48
"ge.PLAT",3.82994080731266e-16,"less","ge","PLAT",57,56,49
"ge.AFAP1L1",4.10311358337923e-16,"less","ge","AFAP1L1",58,57,50
"ge.ITGA2",4.8858870450479e-16,"less","ge","ITGA2",59,58,51
"ge.CCND1",4.91942662485137e-16,"less","ge","CCND1",60,59,52
"ge.IL6ST",5.29808621040015e-16,"less","ge","IL6ST",61,60,53
"ge.EPHA2",5.44034014008177e-16,"less","ge","EPHA2",62,61,54
"ge.C19ORF33",6.81417580209224e-16,"less","ge","C19ORF33",63,62,55
"ge.CYFIP2",7.06495168508952e-16,"greater","ge","CYFIP2",64,63,8
"ge.BCL9L",7.3835604253199e-16,"less","ge","BCL9L",65,64,56
"ge.TLCD2",7.63258930731501e-16,"less","ge","TLCD2",66,65,57
"ge.RRAS",1.13687191356287e-15,"less","ge","RRAS",67,66,58
"ge.SQSTM1",1.1686285555085e-15,"less","ge","SQSTM1",68,67,59
"ge.TM4SF1",1.22659075832556e-15,"less","ge","TM4SF1",69,68,60
"ge.COL12A1",1.30990411743358e-15,"less","ge","COL12A1",70,69,61
"ge.AHNAK2",1.33174381583631e-15,"less","ge","AHNAK2",71,70,62
"ge.PAPSS2",1.43229842088949e-15,"less","ge","PAPSS2",72,71,63
"ge.LBR",1.48767867090725e-15,"greater","ge","LBR",73,72,9
"ge.VEGFC",1.5199856318576e-15,"less","ge","VEGFC",74,73,64
"ge.ALDH1A3",1.62301599008701e-15,"less","ge","ALDH1A3",75,74,65
"ge.SERPINE1",2.27170818609168e-15,"less","ge","SERPINE1",76,75,66
"ge.MIR205HG",2.41796104346754e-15,"less","ge","MIR205HG",77,76,67
"ge.MYO1C",2.81855723190877e-15,"less","ge","MYO1C",78,77,68
"ge.F3",3.05131606120485e-15,"less","ge","F3",79,78,69
"ge.VAMP3",3.29127156827476e-15,"less","ge","VAMP3",80,79,70
"ge.TSKU",3.39860674234932e-15,"less","ge","TSKU",81,80,71
"ge.BLID",3.47220648007833e-15,"less","ge","BLID",82,81,72
"ge.BCAR3",3.5449039145077e-15,"less","ge","BCAR3",83,82,73
"ge.LMNA",4.43686193170523e-15,"less","ge","LMNA",84,83,74
"ge.NT5E",4.52631747330837e-15,"less","ge","NT5E",85,84,75
"ge.AGPAT5",4.60681923837796e-15,"greater","ge","AGPAT5",86,85,10
"ge.ZNF397",5.5845438915218e-15,"greater","ge","ZNF397",87,86,11
"ge.CDC42EP1",5.88913187374908e-15,"less","ge","CDC42EP1",88,87,76
"ge.IER3",5.97200852256162e-15,"less","ge","IER3",89,88,77
"ge.PLCD3",6.13767963497296e-15,"less","ge","PLCD3",90,89,78
"ge.WWTR1",6.48567281606682e-15,"less","ge","WWTR1",91,90,79
"ge.SEMA3C",7.06202856441018e-15,"less","ge","SEMA3C",92,91,80
"ge.FKBP10",8.06230697993809e-15,"less","ge","FKBP10",93,92,81
"ge.GIPC1",9.02500832784709e-15,"less","ge","GIPC1",94,93,82
"ge.CARD10",1.01697115367756e-14,"less","ge","CARD10",95,94,83
"ge.P3H2",1.05264071052297e-14,"less","ge","P3H2",96,95,84
"ge.CXXC1",1.0779967616033e-14,"greater","ge","CXXC1",97,96,12
"ge.RHBDF1",1.11315139828687e-14,"less","ge","RHBDF1",98,97,85
"ge.CA12",1.12388913108738e-14,"less","ge","CA12",99,98,86
"ge.PPIC",1.20320927602521e-14,"less","ge","PPIC",100,99,87
"ge.HAUS1",1.23687990798947e-14,"greater","ge","HAUS1",101,100,13
"ge.KIF1C",1.38583933262844e-14,"less","ge","KIF1C",102,101,88
"ge.DKK1",1.60657160865116e-14,"less","ge","DKK1",103,102,89
"ge.IGFBP6",1.79016595787955e-14,"less","ge","IGFBP6",104,103,90
"ge.SDC4",1.83179002389942e-14,"less","ge","SDC4",105,104,91
"ge.BCL11A",2.08634268914809e-14,"greater","ge","BCL11A",106,105,14
"ge.PXDC1",2.28942563721269e-14,"less","ge","PXDC1",107,106,92
"ge.PPP1R13L",2.3287381161847e-14,"less","ge","PPP1R13L",108,107,93
"ge.MLPH",2.75209314687006e-14,"less","ge","MLPH",109,108,94
"ge.ADAM9",2.81996343889585e-14,"less","ge","ADAM9",110,109,95
"ge.ABHD18",2.82976826483563e-14,"greater","ge","ABHD18",111,110,15
"ge.DOCK1",3.01472140538578e-14,"less","ge","DOCK1",112,111,96
"ge.RILPL1",3.01765333928781e-14,"less","ge","RILPL1",113,112,97
"ge.ELAVL1",3.28295846173383e-14,"greater","ge","ELAVL1",114,113,16
"ge.TGFBI",3.69360864984296e-14,"less","ge","TGFBI",115,114,98
"ge.LOXL2",3.73360137149926e-14,"less","ge","LOXL2",116,115,99
"ge.AMOTL2",3.84754198149902e-14,"less","ge","AMOTL2",117,116,100
"ge.TPD52L1",3.87550613785488e-14,"less","ge","TPD52L1",118,117,101
"ge.THBS1",4.17011793758317e-14,"less","ge","THBS1",119,118,102
"ge.SNX33",4.2681837349704e-14,"less","ge","SNX33",120,119,103
"ge.SH3RF2",4.48240327910411e-14,"less","ge","SH3RF2",121,120,104
"ge.ANXA2",4.82885881036334e-14,"less","ge","ANXA2",122,121,105
"ge.SH2D4A",5.1850664514469e-14,"less","ge","SH2D4A",123,122,106
"ge.GJB5",5.23806526800023e-14,"less","ge","GJB5",124,123,107
"ge.DYM",5.45754166735863e-14,"greater","ge","DYM",125,124,17
"ge.DCAF12",5.67465590398906e-14,"greater","ge","DCAF12",126,125,18
"ge.CXCR4",5.76025936532571e-14,"greater","ge","CXCR4",127,126,19
"ge.LAMC2",6.47267056329111e-14,"less","ge","LAMC2",128,127,108
"ge.CTTN",6.58050392754706e-14,"less","ge","CTTN",129,128,109
"ge.HMGB1",8.69147232040532e-14,"greater","ge","HMGB1",130,129,20
"ge.ZNF124",8.77138097975718e-14,"greater","ge","ZNF124",131,130,21
"ge.C1S",9.60859496059661e-14,"less","ge","C1S",132,131,110
"ge.FADD",1.01792041099385e-13,"less","ge","FADD",133,132,111
"ge.MOCOS",1.02061543091091e-13,"less","ge","MOCOS",134,133,112
"ge.GGCX",1.07537006587316e-13,"less","ge","GGCX",135,134,113
"ge.ZBTB44",1.24034468968868e-13,"greater","ge","ZBTB44",136,135,22
"ge.TMEM57",1.24831841169781e-13,"greater","ge","TMEM57",137,136,23
"ge.ERRFI1",1.28480516607491e-13,"less","ge","ERRFI1",138,137,114
"ge.ANXA2P3",1.2900366292361e-13,"less","ge","ANXA2P3",139,138,115
"ge.SERPINH1",1.29436572736842e-13,"less","ge","SERPINH1",140,139,116
"ge.MBTD1",1.3756980709361e-13,"greater","ge","MBTD1",141,140,24
"ge.ME2",1.47258244641818e-13,"greater","ge","ME2",142,141,25
"ge.SLAIN1",1.50634363870288e-13,"greater","ge","SLAIN1",143,142,26
"ge.SSH3",1.57294463182423e-13,"less","ge","SSH3",144,143,117
"ge.PHLDA1",1.60838607718731e-13,"less","ge","PHLDA1",145,144,118
"ge.MYB",1.64059615442409e-13,"greater","ge","MYB",146,145,27
"ge.LRRC8E",1.68336707745948e-13,"less","ge","LRRC8E",147,146,119
"ge.TJP1",1.73196913552641e-13,"less","ge","TJP1",148,147,120
"ge.PAXIP1",1.91360670578216e-13,"greater","ge","PAXIP1",149,148,28
"ge.CPSF6",1.9615939746474e-13,"greater","ge","CPSF6",150,149,29
"ge.ABLIM3",2.01769085495342e-13,"less","ge","ABLIM3",151,150,121
"ge.ADGRG6",2.02828185304211e-13,"less","ge","ADGRG6",152,151,122
"ge.FRMD6",2.09030772582789e-13,"less","ge","FRMD6",153,152,123
"ge.ELMO1",2.28907730913251e-13,"greater","ge","ELMO1",154,153,30
"ge.GPR39",2.36683266203116e-13,"less","ge","GPR39",155,154,124
"cn.ELAC1",2.48065460138215e-13,"greater","cn","ELAC1",156,1,31
"ge.ZNF24",2.50109018008875e-13,"greater","ge","ZNF24",157,155,32
"ge.RNF217",2.50889370547014e-13,"less","ge","RNF217",158,156,125
"ge.RIPK4",2.5235389295755e-13,"less","ge","RIPK4",159,157,126
"ge.KIFC3",2.73223158626627e-13,"less","ge","KIFC3",160,158,127
"ge.ZNF764",2.8704485287521e-13,"greater","ge","ZNF764",161,159,33
"ge.AKT1S1",2.90363496012926e-13,"less","ge","AKT1S1",162,160,128
"ge.CLIP1",2.96092409505567e-13,"less","ge","CLIP1",163,161,129
"ge.RARG",2.98250603575329e-13,"less","ge","RARG",164,162,130
"cn.MBD2",2.98478470148556e-13,"greater","cn","MBD2",165,2,34
"ge.ARMC9",3.30849709146019e-13,"less","ge","ARMC9",166,163,131
"cn.CCDC68",3.56096594679391e-13,"greater","cn","CCDC68",167,3,35
"cn.RAB27B",3.56096594679391e-13,"greater","cn","RAB27B",167,4,36
"ge.CD151",3.57781017141784e-13,"less","ge","CD151",168,164,132
"cn.SMAD4",3.61671514297691e-13,"greater","cn","SMAD4",169,5,37
"ge.ASPH",3.66230152217825e-13,"less","ge","ASPH",170,165,133
"ge.ZDHHC7",3.78702592793871e-13,"less","ge","ZDHHC7",171,166,134
"cn.MYO5B",4.01349783235759e-13,"greater","cn","MYO5B",172,6,38
"ge.CORO1A",4.05961348565486e-13,"greater","ge","CORO1A",173,167,39
"ge.KDM2B",4.18552814737842e-13,"greater","ge","KDM2B",174,168,40
"ge.TEAD3",4.23694647570385e-13,"less","ge","TEAD3",175,169,135
"cn.MAPK4",4.43646232518868e-13,"greater","cn","MAPK4",176,7,41
"ge.ANKRD46",4.53383113546908e-13,"greater","ge","ANKRD46",177,170,42
"ge.ANLN",4.65455184254025e-13,"less","ge","ANLN",178,171,136
"ge.S100A10",4.67086084467691e-13,"less","ge","S100A10",179,172,137
"cn.SNORA37",4.93554121513153e-13,"greater","cn","SNORA37",180,8,43
"ge.KRT80",5.04488977531926e-13,"less","ge","KRT80",181,173,138
"ge.KLF4",5.27039965612576e-13,"less","ge","KLF4",182,174,139
"ge.CCDC80",5.27847528070628e-13,"less","ge","CCDC80",183,175,140
"cn.ME2",5.28766574857703e-13,"greater","cn","ME2",184,9,44
"cn.MALT1",5.36705282844986e-13,"greater","cn","MALT1",185,10,45
"cn.POLI",5.7700660167694e-13,"greater","cn","POLI",186,11,46
"ge.FAM129B",5.77849989750969e-13,"less","ge","FAM129B",187,176,141
"cn.SKA1",5.93357587387914e-13,"greater","cn","SKA1",188,12,47
"ge.SDC1",6.00283912019362e-13,"less","ge","SDC1",189,177,142
"ge.CRIM1",6.03715815651911e-13,"less","ge","CRIM1",190,178,143
"ge.GPR87",6.06575608186955e-13,"less","ge","GPR87",191,179,144
"cn.C18ORF54",6.13055003818908e-13,"greater","cn","C18ORF54",192,13,48
"cn.STARD6",6.13055003818908e-13,"greater","cn","STARD6",192,14,49
"ge.MMP14",6.234739725735e-13,"less","ge","MMP14",193,180,145
"ge.BAG3",6.32461327793861e-13,"less","ge","BAG3",194,181,146
"cn.CFAP53",6.4165119087022e-13,"greater","cn","CFAP53",195,15,50
"cn.CXXC1",6.4165119087022e-13,"greater","cn","CXXC1",195,16,51
"cn.MBD1",6.4165119087022e-13,"greater","cn","MBD1",195,17,52
"ge.PLBD1",6.48795388178206e-13,"less","ge","PLBD1",196,182,147
"ge.VCL",6.68274695118713e-13,"less","ge","VCL",197,183,148
"ge.DAG1",6.68338592553326e-13,"less","ge","DAG1",198,184,149
"ge.TFG",6.83828718565435e-13,"less","ge","TFG",199,185,150
"cn.DYNAP",7.15571259794524e-13,"greater","cn","DYNAP",200,18,53
"cn.SETBP1",7.15853878099725e-13,"greater","cn","SETBP1",201,19,54
"ge.HIRIP3",7.62298381581022e-13,"greater","ge","HIRIP3",202,186,55
"ge.COL1A1",7.82477837084784e-13,"less","ge","COL1A1",203,187,151
"ge.SLC31A1",7.82799902335718e-13,"less","ge","SLC31A1",204,188,152
"ge.ELAC1",7.86292167247002e-13,"greater","ge","ELAC1",205,189,56
"ge.AGAP2.AS1",7.88619292901882e-13,"less","ge","AGAP2.AS1",206,190,153
"ge.MBD1",7.92944819881351e-13,"greater","ge","MBD1",207,191,57
"ge.ITGB4",7.93584803981665e-13,"less","ge","ITGB4",208,192,154
"cn.MRO",8.24058003507202e-13,"greater","cn","MRO",209,20,58
"cn.ALPK2",8.37756461014981e-13,"greater","cn","ALPK2",210,21,59
"ge.RBM12B",8.4553170221006e-13,"greater","ge","RBM12B",211,193,60
"ge.F2RL1",8.47879076772889e-13,"less","ge","F2RL1",212,194,155
"ge.P4HA2",8.65827520932001e-13,"less","ge","P4HA2",213,195,156
"ge.DYRK1A",8.68527934498399e-13,"greater","ge","DYRK1A",214,196,61
"ge.LAMB3",8.78314192404061e-13,"less","ge","LAMB3",215,197,157
"ge.TTC23",9.32397397041804e-13,"less","ge","TTC23",216,198,158
"ge.MPP5",9.44158604787452e-13,"less","ge","MPP5",217,199,159
"cn.MEX3C",9.61640433261524e-13,"greater","cn","MEX3C",218,22,62
"ge.PHLDB2",9.65219840867127e-13,"less","ge","PHLDB2",219,200,160
"ge.ZCCHC3",9.90974365762105e-13,"greater","ge","ZCCHC3",220,201,63
"ge.S100A2",1.04319280503884e-12,"less","ge","S100A2",221,202,161
"ge.RGS20",1.06423503845988e-12,"less","ge","RGS20",222,203,162
"ge.FAM76B",1.07410995035387e-12,"greater","ge","FAM76B",223,204,64
"ge.ST6GALNAC2",1.08573510738499e-12,"less","ge","ST6GALNAC2",224,205,163
"ge.SPSB1",1.08704510559618e-12,"less","ge","SPSB1",225,206,164
"ge.DCK",1.10802407815189e-12,"greater","ge","DCK",226,207,65
"ge.ATP5A1",1.13222672479204e-12,"greater","ge","ATP5A1",227,208,66
"ge.ZNF292",1.16629322134978e-12,"greater","ge","ZNF292",228,209,67
"ge.TMBIM1",1.18446402990498e-12,"less","ge","TMBIM1",229,210,165
"ge.IER5L",1.1873072774838e-12,"less","ge","IER5L",230,211,166
"ge.LGALS3",1.21605034662105e-12,"less","ge","LGALS3",231,212,167
"cn.ATP8B1",1.22147028492685e-12,"greater","cn","ATP8B1",232,23,68
"ge.PLA2G16",1.24045655346273e-12,"less","ge","PLA2G16",233,213,168
"ge.PEX11A",1.24176781773202e-12,"less","ge","PEX11A",234,214,169
"ge.KRT34",1.27233642143748e-12,"less","ge","KRT34",235,215,170
"ge.MAFF",1.29644101960476e-12,"less","ge","MAFF",236,216,171
"ge.PTGR1",1.29889363855503e-12,"less","ge","PTGR1",237,217,172
"ge.SNCG",1.37952941044503e-12,"less","ge","SNCG",238,218,173
"ge.C15ORF48",1.38585428750529e-12,"less","ge","C15ORF48",239,219,174
"ge.PLK2",1.39247787829097e-12,"less","ge","PLK2",240,220,175
"ge.MATR3",1.44655745087511e-12,"greater","ge","MATR3",241,221,69
"ge.GPC1",1.45003901824857e-12,"less","ge","GPC1",242,222,176
"ge.ALDH3A1",1.4909881587269e-12,"less","ge","ALDH3A1",243,223,177
"ge.NTN4",1.53332734963192e-12,"less","ge","NTN4",244,224,178
"ge.TADA1",1.53572175671176e-12,"greater","ge","TADA1",245,225,70
"ge.TXNDC16",1.56450052287882e-12,"greater","ge","TXNDC16",246,226,71
"ge.SHC1",1.57015262784284e-12,"less","ge","SHC1",247,227,179
"ge.TNKS1BP1",1.58534579580279e-12,"less","ge","TNKS1BP1",248,228,180
"ge.RHBDL2",1.65574878930216e-12,"less","ge","RHBDL2",249,229,181
"cn.ZBTB7C",1.66506174234939e-12,"greater","cn","ZBTB7C",250,24,72
"ge.MVP",1.78175079016078e-12,"less","ge","MVP",251,230,182
"cn.MIR122",1.82702239239675e-12,"greater","cn","MIR122",252,25,73
"ge.AGRN",1.94934308322908e-12,"less","ge","AGRN",253,231,183
"ge.ADIRF",2.03242657355922e-12,"less","ge","ADIRF",254,232,184
"cn.TCF4",2.03725498640432e-12,"greater","cn","TCF4",255,26,74
"cn.DCC",2.099831438795e-12,"greater","cn","DCC",256,27,75
"ge.PARVA",2.22110238245338e-12,"less","ge","PARVA",257,233,185
"ge.MET",2.2662944162306e-12,"less","ge","MET",258,234,186
"ge.N4BP2",2.38389998503117e-12,"greater","ge","N4BP2",259,235,76
"ge.KLHL8",2.49669623255495e-12,"greater","ge","KLHL8",260,236,77
"cn.RIT2",2.5789598890038e-12,"greater","cn","RIT2",261,28,78
"ge.ZNF136",2.67453407994261e-12,"greater","ge","ZNF136",262,237,79
"ge.TPBG",2.68481862424784e-12,"less","ge","TPBG",263,238,187
"ge.PPP2R3A",2.71998282516541e-12,"less","ge","PPP2R3A",264,239,188
"ge.ZNF100",2.77168458342015e-12,"greater","ge","ZNF100",265,240,80
"ge.SGSH",2.82783807469058e-12,"less","ge","SGSH",266,241,189
"cn.IER3IP1",2.84090706607091e-12,"greater","cn","IER3IP1",267,29,81
"ge.HOXC13",2.86213222231585e-12,"less","ge","HOXC13",268,242,190
"cn.HDHD2",2.87282626604851e-12,"greater","cn","HDHD2",269,30,82
"ge.COPS7A",2.88882827213549e-12,"less","ge","COPS7A",270,243,191
"ge.RHOD",2.92548545191637e-12,"less","ge","RHOD",271,244,192
"ge.BOK",2.94802612633187e-12,"less","ge","BOK",272,245,193
"ge.CAST",3.13854006880079e-12,"less","ge","CAST",273,246,194
"ge.IDH2",3.41867557069951e-12,"greater","ge","IDH2",274,247,83
"ge.PDIK1L",3.46078273687993e-12,"greater","ge","PDIK1L",275,248,84
"ge.CTSD",3.4782896893455e-12,"less","ge","CTSD",276,249,195
"ge.C15ORF52",3.50701591024835e-12,"less","ge","C15ORF52",277,250,196
"ge.ZNF273",3.71275712181096e-12,"greater","ge","ZNF273",278,251,85
"ge.ARID1B",3.73090488766168e-12,"greater","ge","ARID1B",279,252,86
"ge.SPR",3.88835186300426e-12,"less","ge","SPR",280,253,197
"ge.HTRA1",3.93058158695034e-12,"less","ge","HTRA1",281,254,198
"ge.SPHK1",3.98372835798626e-12,"less","ge","SPHK1",282,255,199
"ge.MYO1E",4.08872405987457e-12,"less","ge","MYO1E",283,256,200
"ge.YPEL1",4.14211700431547e-12,"greater","ge","YPEL1",284,257,87
"ge.LINC01119",4.16275953680324e-12,"less","ge","LINC01119",285,258,201
"ge.CD109",4.2035701448165e-12,"less","ge","CD109",286,259,202
"ge.SLC39A1",4.23223884478401e-12,"less","ge","SLC39A1",287,260,203
"ge.EPB41",4.28320108466349e-12,"greater","ge","EPB41",288,261,88
"ge.GAS2L1",4.51777744916778e-12,"less","ge","GAS2L1",289,262,204
"ge.CCDC88C",4.73241626062717e-12,"greater","ge","CCDC88C",290,263,89
"ge.ADM",4.81819763302831e-12,"less","ge","ADM",291,264,205
"cn.SCARNA17",5.01393510045332e-12,"greater","cn","SCARNA17",292,31,90
"ge.KDELR2",5.03472756926796e-12,"less","ge","KDELR2",293,265,206
"cn.WDR7",5.05243838422714e-12,"greater","cn","WDR7",294,32,91
"ge.CHST3",5.27603948780612e-12,"less","ge","CHST3",295,266,207
"ge.UACA",5.34868910580595e-12,"less","ge","UACA",296,267,208
"ge.SH3D19",5.37393463336508e-12,"less","ge","SH3D19",297,268,209
"ge.RND3",5.43570537078885e-12,"less","ge","RND3",298,269,210
"ge.MANBAL",5.44182303197118e-12,"less","ge","MANBAL",299,270,211
"ge.SMIM8",5.96740894431834e-12,"greater","ge","SMIM8",300,271,92
"cn.EPG5",6.02394592952521e-12,"greater","cn","EPG5",301,33,93
"cn.PSTPIP2",6.02394592952521e-12,"greater","cn","PSTPIP2",301,34,94
"cn.SIGLEC15",6.02394592952521e-12,"greater","cn","SIGLEC15",301,35,95
"ge.SMAD3",6.30519671261919e-12,"less","ge","SMAD3",302,272,212
"ge.FBXO41",6.46719941419226e-12,"greater","ge","FBXO41",303,273,96
"ge.RHOC",6.5878094788835e-12,"less","ge","RHOC",304,274,213
"cn.ACAA2",6.62045782287033e-12,"greater","cn","ACAA2",305,36,97
"ge.S100A14",6.89829034148584e-12,"less","ge","S100A14",306,275,214
"cn.SMAD2",6.95124413923895e-12,"greater","cn","SMAD2",307,37,98
"ge.UEVLD",6.9891575306746e-12,"less","ge","UEVLD",308,276,215
"ge.PITPNM3",7.00471746815376e-12,"less","ge","PITPNM3",309,277,216
"ge.DCBLD2",7.1236510722533e-12,"less","ge","DCBLD2",310,278,217
"ge.TRIM7",7.16935990486568e-12,"less","ge","TRIM7",311,279,218
"cn.TXNL1",7.45174993009895e-12,"greater","cn","TXNL1",312,38,99
"cn.CTIF",7.60882897248787e-12,"greater","cn","CTIF",313,39,100
"ge.LAMB1",7.64053915694946e-12,"less","ge","LAMB1",314,280,219
"ge.CLCA2",7.81498888957022e-12,"less","ge","CLCA2",315,281,220
"ge.DCAF7",7.91337223450628e-12,"greater","ge","DCAF7",316,282,101
"cn.SLC14A1",8.04992899092953e-12,"greater","cn","SLC14A1",317,40,102
"ge.SEMA4B",8.23932356371215e-12,"less","ge","SEMA4B",318,283,221
"ge.KCTD11",8.34157735043221e-12,"less","ge","KCTD11",319,284,222
"ge.RASAL2",8.55596638043069e-12,"less","ge","RASAL2",320,285,223
"ge.CDC42EP2",8.97149677703345e-12,"less","ge","CDC42EP2",321,286,224
"cn.C18ORF32",9.06625781713676e-12,"greater","cn","C18ORF32",322,41,103
"ge.ADORA2B",9.43154235905153e-12,"less","ge","ADORA2B",323,287,225
"cn.SYT4",9.58654655591689e-12,"greater","cn","SYT4",324,42,104
"ge.ADGRF4",9.68175380449797e-12,"less","ge","ADGRF4",325,288,226
"ge.L3HYPDH",9.74629830415238e-12,"less","ge","L3HYPDH",326,289,227
"ge.HNRNPC",1.02259043197604e-11,"greater","ge","HNRNPC",327,290,105
"ge.LTBP2",1.03392097446321e-11,"less","ge","LTBP2",328,291,228
"ge.PROCR",1.07486261428757e-11,"less","ge","PROCR",329,292,229
"cn.ST8SIA3",1.11899451674473e-11,"greater","cn","ST8SIA3",330,43,106
"ge.TM9SF1",1.16483971603556e-11,"less","ge","TM9SF1",331,293,230
"cn.MIR1539",1.20142445779068e-11,"greater","cn","MIR1539",332,44,107
"cn.RPL17",1.20142445779068e-11,"greater","cn","RPL17",332,45,108
"cn.SNORD58A",1.20142445779068e-11,"greater","cn","SNORD58A",332,46,109
"cn.SNORD58C",1.20142445779068e-11,"greater","cn","SNORD58C",332,47,110
"cn.KATNAL2",1.26566863643956e-11,"greater","cn","KATNAL2",333,48,111
"ge.KANSL1",1.27207905658814e-11,"greater","ge","KANSL1",334,294,112
"cn.PIAS2",1.28611326088747e-11,"greater","cn","PIAS2",335,49,113
"ge.HEG1",1.29886693523816e-11,"less","ge","HEG1",336,295,231
"ge.SNRPD1",1.35232597883485e-11,"greater","ge","SNRPD1",337,296,114
"cn.NEDD4L",1.35697039479453e-11,"greater","cn","NEDD4L",338,50,115
"ge.TOM1L2",1.42625820434947e-11,"less","ge","TOM1L2",339,297,232
"cn.LIPG",1.42749063431282e-11,"greater","cn","LIPG",340,51,116
"ge.KRT13",1.43146314153484e-11,"less","ge","KRT13",341,298,233
"ge.YIPF5",1.49672997388373e-11,"less","ge","YIPF5",342,299,234
"ge.NR2F6",1.50383858904752e-11,"less","ge","NR2F6",343,300,235
"ge.FKBP14",1.54626145296546e-11,"less","ge","FKBP14",344,301,236
"cn.TCEB3B",1.54704447772592e-11,"greater","cn","TCEB3B",345,52,117
"cn.TCEB3C",1.54704447772592e-11,"greater","cn","TCEB3C",345,53,118
"cn.ONECUT2",1.54752599823997e-11,"greater","cn","ONECUT2",346,54,119
"ge.ENY2",1.58628374202719e-11,"greater","ge","ENY2",347,302,120
